Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
75010-1,Star Wars,Planet Set,2013,B-Wing Starfighter & Planet Endor,1,83,11.99,9.99,,5.70201E+12,6.73419E+11,,1,17.87,6.88
75011-1,Star Wars,Planet Set,2013,Tantive IV & Planet Alderaan,1,102,11.99,9.99,,5.70201E+12,6.73419E+11,,1,25.2,10.31
75018-1,Star Wars,Original Content,2013,JEK-14's Stealth Starfighter,4,550,59.99,69.99,89.99,5.70201E+12,6.73419E+11,,1,93.1,45.9
75021-1,Star Wars,Episode II,2013,Republic Gunship,7,1175,109.99,119.99,149.99,5.70201E+12,6.73419E+11,,1,235.21,148.37
75028-1,Star Wars,MicroFighters,2014,Clone Turbo Tank,1,96,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,23.77,14.33
75029-1,Star Wars,MicroFighters,2014,AAT,1,95,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,15.8,9.85
75030-1,Star Wars,MicroFighters,2014,Millennium Falcon,1,94,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,28.37,19.15
75031-1,Star Wars,MicroFighters,2014,TIE Interceptor,1,92,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,19.17,11.28
75032-1,Star Wars,MicroFighters,2014,X-Wing Fighter,1,97,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,24.24,12.95
75033-1,Star Wars,MicroFighters,2014,Star Destroyer,1,97,8.99,9.99,12.99,5.70202E+12,6.73419E+11,,1,13.68,10.44
75034-1,Star Wars,Episode IV,2014,Death Star Troopers,4,102,11.99,12.99,15.99,5.70202E+12,6.73419E+11,,1,19.67,12.27
75035-1,Star Wars,Episode III,2014,Kashyyyk Troopers,4,99,11.99,12.99,15.99,5.70202E+12,6.73419E+11,,1,22.51,16.23
75036-1,Star Wars,Episode III,2014,Utapau Troopers,4,83,11.99,12.99,15.99,5.70202E+12,6.73419E+11,,1,25.22,17.87
75037-1,Star Wars,Episode III,2014,Battle on Saleucami,5,183,14.99,14.99,17.99,5.70202E+12,6.73419E+11,,1,25.26,18.72
75038-1,Star Wars,Episode III,2014,Jedi Interceptor,2,223,19.99,24.99,29.99,5.70202E+12,6.73419E+11,,1,60.91,32
75039-1,Star Wars,Episode III,2014,V-Wing Starfighter,2,201,19.99,24.99,29.99,5.70202E+12,6.73419E+11,,1,42.34,27.54
